potential,current
 3.850E-0001,-1.62294E-0005
 3.860E-0001,-1.65224E-0005
 3.870E-0001,-1.67940E-0005
 3.880E-0001,-1.70717E-0005
 3.890E-0001,-1.73708E-0005
 3.900E-0001,-1.76363E-0005
 3.910E-0001,-1.79140E-0005
 3.920E-0001,-1.81765E-0005
 3.930E-0001,-1.84390E-0005
 3.940E-0001,-1.86831E-0005
 3.950E-0001,-1.89761E-0005
 3.960E-0001,-1.92629E-0005
 3.970E-0001,-1.95040E-0005
 3.980E-0001,-1.97665E-0005
 3.990E-0001,-2.00045E-0005
 4.000E-0001,-2.02578E-0005
 4.010E-0001,-2.04867E-0005
 4.020E-0001,-2.07614E-0005
 4.030E-0001,-2.10116E-0005
 4.040E-0001,-2.12161E-0005
 4.050E-0001,-2.14175E-0005
 4.060E-0001,-2.16495E-0005
 4.070E-0001,-2.18905E-0005
 4.080E-0001,-2.21560E-0005
 4.090E-0001,-2.23575E-0005
 4.100E-0001,-2.25528E-0005
 4.110E-0001,-2.27603E-0005
 4.120E-0001,-2.29312E-0005
 4.130E-0001,-2.31143E-0005
 4.140E-0001,-2.32730E-0005
 4.150E-0001,-2.34744E-0005
 4.160E-0001,-2.36697E-0005
 4.170E-0001,-2.37949E-0005
 4.180E-0001,-2.39627E-0005
 4.190E-0001,-2.40970E-0005
 4.200E-0001,-2.42557E-0005
 4.210E-0001,-2.43808E-0005
 4.220E-0001,-2.45151E-0005
 4.230E-0001,-2.46250E-0005
 4.240E-0001,-2.47379E-0005
 4.250E-0001,-2.48233E-0005
 4.260E-0001,-2.49301E-0005
 4.270E-0001,-2.50370E-0005
 4.280E-0001,-2.51224E-0005
 4.290E-0001,-2.52018E-0005
 4.300E-0001,-2.52628E-0005
 4.310E-0001,-2.53238E-0005
 4.320E-0001,-2.52841E-0005
 4.330E-0001,-2.54154E-0005
 4.340E-0001,-2.54581E-0005
 4.350E-0001,-2.54703E-0005
 4.360E-0001,-2.55130E-0005
